"";"Overall"
"correlation_xy";1,20347782394782
"correlation_xz";1,705351011938
"correlation_yz";0,575050552102229
"interQuartile_accx";17,6718253640161
"interQuartile_accy";0,335377655749895
"interQuartile_accz";0,674550920437777
"interQuartile_amag";100
"kurtosis_accx";0,41440345221606
"kurtosis_accy";0,132153642593763
"kurtosis_accz";0,257788480862944
"kurtosis_amag";0,308325378925479
"max_accx";0,2760827907504
"max_accy";0,877406075256682
"max_accz";0,315706583942547
"max_amag";0,224528951635737
"mean_accx";2,76885273994806
"mean_amag";7,10720831625049
"median_accx";1,35004762856335
"median_accz";1,44764594598325
"median_amag";11,7108060425453
"min_a_mag";0,500542151367539
"min_accx";0,602659611115497
"min_accy";0,729087407050169
"min_accz";0,770279215533735
"MV";2,10790681369924
"MV_accx";0,920921502748201
"MV_accy";0,888231100391461
"MV_accz";1,03471151282894
"OBDA_Benaissa";0,174531658308578
"OBDA_Wilson";0,280392413608069
"q1_accx";1,34228919686505
"q1_accy";2,95829243792666
"q1_accz";1,38622150905818
"q1_amag";3,93721300261648
"q3_accx";1,95870582331902
"q3_accy";7,34178201722856
"q3_accz";3,34322924371
"q3_amag";1,91978870455813
"range_accx";0,116985855030938
"range_accy";0,205381956017292
"range_accz";0,13727882449341
"range_amag";0,0864633034946445
"ratio_y_sup_z";1,30886313422664
"RMS_accy";5,52560569019952
"RMS_accz";1,58415664452156
"roll";1,03970230030437
"Signal_Magnitude_Area";3,48629603147907
"skewness_accx";0,531387178005193
"skewness_accy";0,335886661176966
"skewness_accz";0,564490061992388
"skewness_amag";0,912927692642927
"spectral_entropy";0,0826314706329893
"std_accx";0
"std_accy";0
"std_accz";0
"std_amag";0
"var_accx";1,16760736394977
"var_accy";1,04981077378314
"var_accz";1,6461345689397
"var_amag";0,268852482351455
