"";"Grazing";"Lying...None";"Lying...Rum";"Standing...None";"Standing...Rum";"Walking"
"mean_accx";91,8704207866927;79,7386611762331;89,8161280760401;78,9585479484987;78,9585479484987;91,8704207866927
"mean_amag";27,2287941327531;27,2287941327531;27,2287941327531;27,2287941327531;33,5103180301153;11,8962469877668
"var_accx";98,2659730748607;95,3245458673649;95,7538906602061;93,5478695078985;93,5478695078985;98,2659730748607
"var_accy";94,2017274230443;80,6356806519795;86,7764378467118;80,6356806519795;80,6356806519795;94,2017274230443
"var_accz";93,7686094433158;92,5797005366679;92,8705878502557;86,1659814985515;86,1659814985515;93,7686094433158
"var_amag";97,5810282433106;95,0168725647277;93,9202076600339;93,0838497328171;93,0838497328171;97,5810282433106
"std_accx";98,2659730748607;95,3245458673649;95,7538906602061;93,5478695078985;93,5478695078985;98,2659730748607
"std_accy";94,2017274230443;80,6356806519795;86,7764378467118;80,6356806519795;80,6356806519795;94,2017274230443
"std_accz";93,7686094433158;92,5797005366679;92,8705878502557;86,1659814985515;86,1659814985515;93,7686094433158
"std_amag";97,5810282433106;95,0168725647277;93,9202076600339;93,0838497328171;93,0838497328171;97,5810282433106
"median_accx";91,1582870434214;79,9011552980975;89,4812959367634;78,9627025639925;78,9627025639925;91,1582870434214
"median_accz";53,8379877050061;41,1000389597053;28,2466984625748;61,5924090323354;34,0061483238679;53,8379877050061
"median_amag";26,7122971055122;10,7571444597619;36,1407567421379;29,1478023291879;33,5976036018269;26,7122971055122
"q1_accx";99,2573435154598;94,2625534479226;95,9276859299493;94,2625534479226;94,2625534479226;99,2573435154598
"q1_accy";99,8779704855123;96,3298484152031;96,3298484152031;96,3298484152031;96,3298484152031;99,8779704855123
"q1_accz";71,6151749611913;55,9950231119707;50,5904841059718;64,9257312301678;35,970182864043;71,6151749611913
"q1_amag";99,0736328541507;99,0736328541507;99,0736328541507;99,0736328541507;99,0736328541507;98,0731447219857
"q3_accx";20,0791454885834;13,8944878866397;21,4503927450293;40,2546729943708;13,8944878866397;20,0791454885834
"q3_accy";100;97,4318085393028;97,4318085393028;97,4318085393028;97,4318085393028;100
