"NUMORD","DIS","ABATT","CC","GGENE","SEXECH","CHGRAS","CHMUSCLE","SEXCGM","G1CGM","G2CGM","M2CGM","DATEFR","SEXE","FRGRAS","FRMUSCLE","GR34VLFR","GR23DCFR","GR34DCFR","GR34DCPAFR","MU23DCFR","MU34DCFR","MU34DCPAFR","FILPIECE","LONPIECE","LONGEX","EPAPIECE","EPAGEX","JAMPIECE","JAMGEX","LONMUGIOS","EPAMUGIOS","JAMMUGIOS","LONPERTPAR","EPAPERTPAR","JAMPERTPAR","TMUS3P","TMP90","TVM","DEN","TMP89"
2,"PAR","K",89.2,"P50","F",10.415,83.275,"F",14,11,59,25/01/2005 00:00:00,"F",8.765,83.625,13.39,7.38,8.375,8.035,71.08500000000001,68.205,68.845,885,7045,1244,5830,652,11180,1276,5792,5168,9888,9,10,16,87.28147554129912,,,42965,
3,"PAR","K",96.2,"P0","F",16.255,72.95,"F",21,18,51,25/01/2005 00:00:00,"F",16.509999999999998,74.135,20.405,15.004999999999999,17.299999999999997,17.085,60.78,56.84500000000001,58.23999999999999,780,7390,2016,6355,1158,11885,2350,5358,5186,9512,16,11,23,79.08368042408179,,,46815,
5,"PAR","K",86.8,"P50","F",10.695,67.92,"F",15,14,54,25/01/2005 00:00:00,"F",10.364999999999998,67.44,15.06,8.85,11.969999999999999,11.645,62.805,57.92500000000001,56.955,700,6370,1410,5585,788,11370,1626,4942,4794,9720,18,3,24,84.08324661810614,,,42357.5,
6,"PAR","K",87.2,"P50","M",18.215,73.225,"M",22,20,51,25/01/2005 00:00:00,"M",16.985,73.67,24.84,16.215,20.33,18.83,61.05,54.17,53.275000000000006,520,6795,2138,5200,1248,10255,2048,4634,3942,8190,23,10,17,76.13526570048309,,,41955,
9,"PAR","K",94.6,"P0","M",17.42,76.26,"M",18,17,66,25/01/2005 00:00:00,"M",16.979999999999997,76.18,19.105,13.605,15.370000000000001,14.35,63.974999999999994,61.239999999999995,64.02000000000001,710,8240,2326,6010,1126,11255,1776,5898,4876,9462,16,8,17,80.05721914934198,,,45550,
11,"PAR","K",96.2,"P0","M",19.73,72.75999999999999,"M",17,17,50,25/01/2005 00:00:00,"M",19.015,72.63,17.905,13.04,14.54,14.205,57.195,56.71,57.95,730,7570,1980,6045,1152,11335,2164,5568,4880,9158,22,13,13,79.37694704049844,,,46665,
12,"PAR","K",85.2,"P0","F",11.045,69.78,"F",13,11,53,25/01/2005 00:00:00,"F",10.81,71.16499999999999,11.725000000000001,8.219999999999999,8,8.155000000000001,60.685,58.44499999999999,61.47999999999999,600,7165,1412,5735,824,10100,1316,5728,4904,8764,25,7,20,84.94915254237289,,,40915,
17,"PAR","K",92.4,"P50","F",16.275,78.32,"F",20,14,66,25/01/2005 00:00:00,"F",15.629999999999999,77.08,17.82,11.26,14.655000000000001,14.55,74.95,67.75,74.7,770,8170,2128,5715,886,11735,1792,6020,4816,9930,22,13,13,81.78855627131489,,,44692.5,
18,"PAR","K",100.6,"P50","M",18.605,70.215,"M",17,15,57,25/01/2005 00:00:00,"M",17.53,70.015,17.195,12.844999999999999,15.065000000000001,15.04,65.56,62.004999999999995,61.62999999999999,790,8370,2168,6460,1186,12190,2204,6184,5262,9974,18,12,12,80.0143833153542,,,49017.5,
19,"PAR","K",88.2,"P50","M",12.760000000000002,70.02,"M",17,13,55,25/01/2005 00:00:00,"M",12.86,68.43,16.035,12.625,13.77,13.7,62.63499999999999,58.25,56.75,685,7115,1714,5725,928,10530,1696,5386,4786,8828,15,11,6,81.96632716690917,,,42415,
