NaCl	Ct	CtRel	Temps
0	5.3138088445078457	1	0
0	4.1711947569046561	0.78497267759562839	2
0	3.3537973854680669	0.63114754098360659	4
0	2.4115400247889429	0.45382513661202184	8
0	1.4605715020696428	0.27486338797814208	16
0	1.1019619980823647	0.20737704918032787	24
5	5.1671090700344431	1	0
5	3.9501560595509213	0.7644808743169399	2
5	3.0282647418644486	0.58606557377049184	4
5	1.8748417609305301	0.36284153005464481	8
5	1.1618936515405318	0.22486338797814207	16
5	0.79624303702170107	0.1540983606557377	24
10	5.1636013437849941	1	0
10	3.8317872266994657	0.74207650273224046	2
10	2.7609748168817578	0.53469945355191262	4
10	1.687340766985479	0.32677595628415301	8
10	1.008736328089145	0.1953551912568306	16
10	0.5953660565784884	0.11530054644808743	24
15	5.2468552412645586	1	0
15	3.8175889364720001	0.72759562841530057	2
15	2.667868197812389	0.5084699453551913	4
15	1.5181474591527782	0.28934426229508198	8
15	0.9303849867706826	0.1773224043715847	16
15	0.49027991598701615	0.093442622950819676	24
